name,product_url,price,supplier,supplier_url,location,rating,min_order,product_id,image_url
"Men Lafar Cotton Printed Shirt, Full Sleeves, Casual Wear",https://www.indiamart.com/proddetail/men-lafar-cotton-printed-shirt-2853166621348.html?pos=1&kwd=cotton%20shirts&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,160,MR Fashion Factory,https://www.mrfashionfactory.com/?pos=1&kwd=cotton%20shirts&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Surat,4.5,,2853166621348,https://5.imimg.com/data5/SELLER/Default/2024/1/373659080/YM/DF/JD/105169109/lafar-mens-shirt-250x250.jpeg
"Mens Printed Cotton Shirt, Casual, Half Sleeves",https://www.indiamart.com/proddetail/mens-printed-cotton-shirt-2853890575612.html?pos=2&kwd=cotton%20shirts&tags=A||||8706.587|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,280,KPS Garments,https://www.indiamart.com/kps-garments-madurai/?pos=2&kwd=cotton%20shirts&tags=A||||8706.587|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Madurai,4.1,,2853890575612,https://5.imimg.com/data5/SELLER/Default/2024/4/410130701/VW/OO/GQ/88488549/img-20240413-wa0007-250x250.jpg
"Plain Men Designer Cotton Shirt, Casual, Full Sleeves",https://www.indiamart.com/proddetail/men-designer-cotton-shirt-20994449848.html?pos=3&kwd=cotton%20shirts&tags=A||||8663.873|Price|product|||SSnp|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=3,999,Menz-o- Clothing,https://www.indiamart.com/menz-o-clothing/?pos=3&kwd=cotton%20shirts&tags=A||||8663.873|Price|product|||SSnp|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Bengaluru,3.9,,20994449848,https://5.imimg.com/data5/KU/RV/CY/SELLER-5397941/designer-shirt-250x250.jpg
"Men'S Printed Cotton Shirt, Casual, Full or Long sleeves",https://www.indiamart.com/proddetail/men-s-printed-cotton-shirt-23781648588.html?pos=4&kwd=cotton%20shirts&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=3,365,Trade India 360 Degrees,https://www.beingprimal.in/?pos=4&kwd=cotton%20shirts&tags=A||||8661.854|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Ludhiana,3.9,,23781648588,https://5.imimg.com/data5/SELLER/Default/2021/8/DI/VV/OP/3023183/mens-100-cotton-twill-digital-print-shirts-250x250.jpeg
Printed Dot Print Woven Mens Cotton Casual Shirts,https://www.indiamart.com/proddetail/dot-print-woven-mens-cotton-casual-shirts-23885090155.html?pos=5&kwd=cotton%20shirts&tags=A||||8668.838|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,360,Sri Hari Apparels,https://www.srihariapparels.com/?pos=5&kwd=cotton%20shirts&tags=A||||8668.838|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Erode,4.7,,23885090155,https://5.imimg.com/data5/SELLER/Default/2021/9/MT/LP/CX/64777441/dot-print-woven-mens-cotton-casual-shirts-250x250.png
"Mens Poly Cotton Printed Shirts, Party-wear, Full Sleeves",https://www.indiamart.com/proddetail/mens-poly-cotton-printed-shirts-2851705594773.html?pos=6&kwd=cotton%20shirts&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,260,BK Brand,https://www.indiamart.com/bk-brand/?pos=6&kwd=cotton%20shirts&tags=A||||8230.883|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Surat,4.6,,2851705594773,https://5.imimg.com/data5/SELLER/Default/2023/7/322968884/LT/IG/GX/191161900/whatsapp-image-2023-07-06-at-3-17-44-pm-250x250.jpeg
"Stripes Mens Fancy Cotton Shirt, Party-wear, Full Sleeves",https://www.indiamart.com/proddetail/mens-fancy-cotton-shirt-25689402891.html?pos=7&kwd=cotton%20shirts&tags=A||||8754.115|Price|product|||SSnp|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,230,H & R Creations,https://www.indiamart.com/h-r-creations/?pos=7&kwd=cotton%20shirts&tags=A||||8754.115|Price|product|||SSnp|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Panchkula,4.1,,25689402891,https://5.imimg.com/data5/ANDROID/Default/2022/5/DB/CB/YH/23374730/prod-20220519-2217307471434977460512609-jpg-250x250.jpg
"Cotton Shirt, Full sleeves",https://www.indiamart.com/proddetail/cotton-shirt-3606343897.html?pos=8&kwd=cotton%20shirts&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,350,Cotton Climate,https://www.indiamart.com/cotton-climate/?pos=8&kwd=cotton%20shirts&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Ahmedabad,4.3,,3606343897,https://5.imimg.com/data5/TE/ID/WO/SELLER-3513561/cotton-shirt-250x250.jpg
"Men Fancy Cotton Printed Shirt, Casual",https://www.indiamart.com/proddetail/men-fancy-cotton-printed-shirt-23888073348.html?pos=9&kwd=cotton%20shirts&tags=A||||8331.224|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,200,Khushi Texcom,https://www.indiamart.com/khushi-texcom/?pos=9&kwd=cotton%20shirts&tags=A||||8331.224|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Kolhapur,4.2,,23888073348,https://5.imimg.com/data5/SELLER/Default/2021/9/VU/VC/MI/120120250/swp-740f-250x250.jpg
Cotton Printed Shirt,https://www.indiamart.com/proddetail/cotton-printed-shirt-16095211933.html?pos=10&kwd=cotton%20shirts&tags=A||||8663.873|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,330,Crude Cotton,https://www.indiamart.com/crude-cotton/?pos=10&kwd=cotton%20shirts&tags=A||||8663.873|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1|mtp:S|wc:1|qr_nm:gd|cs:13924|com-cf:nl|ptrs:na|mc:9997|cat:239|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-2-8-0|qrd:250414|mrd:250414|prdt:250414|v=4,Bengaluru,4.2,,16095211933,https://5.imimg.com/data5/RF/AX/MY-45340984/cotton-printed-shirt-250x250.jpg
