name,product_url,price,supplier,supplier_url,location,rating,min_order,product_id,image_url
Black Iphone 13 128 Gb,https://www.indiamart.com/proddetail/iphone-13-128-gb-2855854771462.html?pos=1&kwd=iphone%2013&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=2,"34,000",Zen Gadgets,https://www.indiamart.com/zengadgets/?pos=1&kwd=iphone%2013&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,New Delhi,2.8,,2855854771462,https://5.imimg.com/data5/ANDROID/Default/2025/3/496763929/TK/KS/TH/151410703/product-jpeg-250x250.jpg
Green Apple IPhone 13,https://www.indiamart.com/proddetail/apple-iphone-13-2852990430473.html?pos=2&kwd=iphone%2013&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=4,"59,900",Akshat Solanki,https://www.solankiji.com/?pos=2&kwd=iphone%2013&tags=A||||8307.81|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,Pune,4,,2852990430473,https://5.imimg.com/data5/SELLER/Default/2023/12/367720618/RT/QT/QH/18726985/apple-iphone-13-250x250.jpg
Black Iphone 13 Pro 128gb,https://www.indiamart.com/proddetail/iphone-13-pro-128gb-2851627734191.html?pos=3&kwd=iphone%2013&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=3,"73,500",Zion Technologies,https://www.ziontechnologies.in/?pos=3&kwd=iphone%2013&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,New Delhi,3.8,,2851627734191,https://5.imimg.com/data5/SELLER/Default/2023/6/320584455/WT/SL/KG/181126883/iphone-13-pro-128gb-250x250.jpg
Apple Iphone 13 Pro (128Gb) - Sierra Blue,https://www.indiamart.com/proddetail/apple-iphone-13-pro-128gb-sierra-blue-27259378133.html?pos=4&kwd=iphone%2013&tags=A||||8223.226|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=3,"95,000",Concentric Circles LLP,https://www.indiamart.com/concentric-circles-llp/?pos=4&kwd=iphone%2013&tags=A||||8223.226|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,Thane,3.8,,27259378133,https://5.imimg.com/data5/SELLER/Default/2022/10/NV/MI/BP/43819962/apple-iphone-13-pro-128gb-sierra-blue-250x250.jpg
Gold Demo unit Iphone 13 pro,https://www.indiamart.com/proddetail/demo-unit-iphone-13-pro-2854175202962.html?pos=5&kwd=iphone%2013&tags=A||||9520.041|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=3,"49,999",We Buy Phones,https://www.indiamart.com/webuyphones/?pos=5&kwd=iphone%2013&tags=A||||9520.041|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,Patna,3.7,,2854175202962,https://5.imimg.com/data5/ANDROID/Default/2024/5/423036854/IQ/XD/CG/222802976/product-jpeg-250x250.jpg
Red Apple IPhone 13 256 GB Mobile,https://www.indiamart.com/proddetail/apple-iphone-13-256-gb-mobile-2855769996412.html?pos=6&kwd=iphone%2013&tags=A||||8741.812|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=3,"42,999",Glowier E Services,https://www.indiamart.com/glowier-eservices-jhansi/?pos=6&kwd=iphone%2013&tags=A||||8741.812|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,Gurugram,3,,2855769996412,https://5.imimg.com/data5/SELLER/Default/2025/2/488301285/SF/RM/CQ/87718482/i13-apple-iphone-256-gb-mobile-250x250.jpg
"Blue Apple Iphone 13 128Gb, Battery Capacity: 15w Wireless Charging, 12MP",https://www.indiamart.com/proddetail/apple-iphone-13-128gb-2850586307288.html?pos=7&kwd=iphone%2013&tags=A||||8223.226|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=3,"45,500",We Repair & Swastik Enterprises,https://www.indiamart.com/werepair-swastik-enterprises/?pos=7&kwd=iphone%2013&tags=A||||8223.226|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,Thane,3.6,,2850586307288,https://5.imimg.com/data5/SELLER/Default/2023/3/295802074/TP/JD/WQ/153133653/apple-iphone-13-128gb-blue-250x250.jpg
"Apple Iphone 13 128gb Mobile Handset, Battery Capacity: 3240mah, 12mp",https://www.indiamart.com/proddetail/apple-iphone-13-128gb-mobile-handset-25674854312.html?pos=8&kwd=iphone%2013&tags=A||||8752.144|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=4,"49,000",Toughees Telecom,https://www.indiamart.com/toughees-telecom/?pos=8&kwd=iphone%2013&tags=A||||8752.144|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,New Delhi,4,,25674854312,https://5.imimg.com/data5/SELLER/Default/2022/5/LB/YK/BQ/9446786/13-250x250.jpg
Iphone 13 Pro,https://www.indiamart.com/proddetail/iphone-13-pro-2855327922891.html?pos=9&kwd=iphone%2013&tags=BA||||8752.144||product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=3,,Krishna Traders,https://www.krishnatradersktr.com/?pos=9&kwd=iphone%2013&tags=BA||||8752.144||product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,New Delhi,3.8,,2855327922891,https://5.imimg.com/data5/SELLER/Default/2024/11/468446234/IC/BX/HO/37954860/iphone-13-pro-250x250.jpg
"IPHONE 13 PRO MAX 128GB/256/512GB AND 1 TB, SILVER, GOLD, SIERRA BLUE, GRAPHITE,AND MANY MORE.",https://www.indiamart.com/proddetail/iphone-13-pro-max-128gb-256-512gb-and-1-tb-silver-gold-sierra-blue-graphite-and-many-more-25388784588.html?pos=10&kwd=iphone%2013&tags=BA||||8741.812||product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4|r=3,,Crimson Communicare LLP,https://www.crimsonkart.com/?pos=10&kwd=iphone%2013&tags=BA||||8741.812||product|||TS|rsf:gd-|-res:RC3|ktp:N0|stype:attr=1|mtp:Brn|prpfl:1|wc:1|qr_nm:gd|cs:14148|com-cf:nl|ptrs:na|mc:179822|cat:750|qry_typ:P|lang:en|flavl:10|rtn:0-0-0-1-7-2-0|qrd:250412|mrd:250412|prdt:250415|v=4,Gurugram,3.7,,25388784588,https://5.imimg.com/data5/GLADMIN/Default/2022/4/DF/LN/XU/14357089/iphone-13-pro-max-128gb-256-512gb-and-1-tb-silver-gold-sierra-blue-graphite-and-many-more--250x250.JPG
