name,product_url,price,supplier,supplier_url,location,rating,min_order,product_id,image_url
"Oreo Chocolate Biscuits, Packaging Type: Packet",https://www.indiamart.com/proddetail/oreo-chocolate-biscuits-27122586630.html?pos=1&kwd=oreo&tags=A||||8663.873|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=5,240,Gopal Trading Co.,https://www.indiamart.com/gopal-tradingco/?pos=1&kwd=oreo&tags=A||||8663.873|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,Bengaluru,5,,27122586630,https://5.imimg.com/data5/SELLER/Default/2025/3/497011062/DX/NL/XX/19914532/oreo-chocolate-biscuits-250x250.jpeg
"Vanilla Cream Biscuits Oreo Original Sandwich Biscuit, 119gm, Packaging Type: Box",https://www.indiamart.com/proddetail/oreo-original-sandwich-biscuit-119gm-2855772979033.html?pos=2&kwd=oreo&tags=BA||||8741.812|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=3,100,Ambrosiyadotin International Private Limited,https://www.indiamart.com/ambrosiyadotininternational/?pos=2&kwd=oreo&tags=BA||||8741.812|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,Gurugram,3.8,,2855772979033,https://5.imimg.com/data5/SELLER/Default/2025/2/488158992/VA/JZ/XL/132634672/oreo-original-sandwich-biscuit-154g-250x250.png
"Cream Biscuits Oreo mini 10x Original/chocolate/strawberry, Packaging Type: Box",https://www.indiamart.com/proddetail/oreo-mini-10x-original-chocolate-strawberry-2850610559297.html?pos=3&kwd=oreo&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=2,200,Easy Access,https://www.indiamart.com/mseasyaccess/?pos=3&kwd=oreo&tags=BA||||8211.142|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,Mumbai,2.7,,2850610559297,https://5.imimg.com/data5/ANDROID/Default/2023/3/296334765/WK/BE/TY/50803673/product-jpeg-250x250.jpg
"Vanilla Oreo Mini Biscuits, Packaging Type: Box",https://www.indiamart.com/proddetail/oreo-mini-biscuits-2850797675573.html?pos=4&kwd=oreo&tags=BA||||8663.873|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=4,200,Meenakshi Marketing,https://www.indiamart.com/meenakshi-marketing-bengaluru/?pos=4&kwd=oreo&tags=BA||||8663.873|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,Bengaluru,4.1,,2850797675573,https://5.imimg.com/data5/IOS/Default/2023/4/300096517/ZT/DU/DK/18339648/product-jpeg-250x250.png
Demo Lens Oreo,https://www.indiamart.com/proddetail/oreo-2851273111797.html?pos=5&kwd=oreo&tags=BA||||8223.226||product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=4,,Jayantilal H. Gandhi,https://www.indiamart.com/jayantilalhgandhi/?pos=5&kwd=oreo&tags=BA||||8223.226||product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,Thane,4.3,,2851273111797,https://5.imimg.com/data5/SELLER/PDFImage/2023/5/310614120/QS/RO/OZ/8841811/oreo-23-01-2023-250x250.png
Oreo Mini Oreo Original Biscuit,https://www.indiamart.com/proddetail/oreo-mini-oreo-original-biscuit-2853597024730.html?pos=6&kwd=oreo&tags=BA||||8752.144|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=4,175,Aryan Traders,https://www.indiamart.com/aryan-tradersdelhi/?pos=6&kwd=oreo&tags=BA||||8752.144|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,New Delhi,4.1,,2853597024730,https://5.imimg.com/data5/SELLER/Default/2024/3/396869157/RT/RN/BJ/78082535/oreo-mini-oreo-original-biscuit-250x250.jpg
"Oreo Chocolate Creme Biscuit Pack, Packaging Size: 120 G",https://www.indiamart.com/proddetail/oreo-chocolate-creme-biscuit-26936605212.html?pos=7&kwd=oreo&tags=BA||||8834.002|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=4,40,Arumugha Traders,https://www.indiamart.com/arumugha-traders/?pos=7&kwd=oreo&tags=BA||||8834.002|Price|product|||MDC|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,Tirukkoyilur,4,,26936605212,https://5.imimg.com/data5/SELLER/Default/2024/11/463624753/WL/OI/CE/106320008/motor-vehicles-250x250.jpg
oreo roastila,https://www.indiamart.com/proddetail/oreo-roastila-2851507180012.html?pos=8&kwd=oreo&tags=BA||||7937.187||product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=4,,Khavda Sweet And Farsan Mart,https://www.indiamart.com/khavdasweetfarsanmart/?pos=8&kwd=oreo&tags=BA||||7937.187||product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,Bhuj,4.8,,2851507180012,https://5.imimg.com/data5/SELLER/Default/2023/10/355440476/QZ/LC/XL/97664651/oreo-roastila-250x250.jpeg
Cadbury Choco Creme Oreo Chocolate Sandwich Biscuits,https://www.indiamart.com/proddetail/cadbury-choco-creme-oreo-chocolate-sandwich-biscuits-2850260989997.html?pos=9&kwd=oreo&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=3,28,JBS Enterprises,https://www.indiamart.com/jbsenterprises-delhiindia/?pos=9&kwd=oreo&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,New Delhi,3.6,,2850260989997,https://5.imimg.com/data5/SELLER/Default/2023/2/KK/GK/YQ/144328445/20230214-180848-250x250.jpg
Cream Biscuits Chocolate Cadbury Oreo Biscuites,https://www.indiamart.com/proddetail/cadbury-oreo-biscuites-2853169197330.html?pos=10&kwd=oreo&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4|r=4,10,Kwality Corner,https://www.indiamart.com/kwality-corner/?pos=10&kwd=oreo&tags=BA||||8752.144|Price|product|||TS|rsf:gd-|-res:RC3|ktp:N0|mtp:Brn|wc:1|qr_nm:gd|cs:12046|com-cf:nl|ptrs:na|mc:216348|cat:801|qry_typ:P|lang:en|flavl:0-1|rtn:0-0-0-1-2-6-1|qrd:250413|mrd:250413|prdt:250414|v=4,New Delhi,4.1,,2853169197330,https://5.imimg.com/data5/ANDROID/Default/2024/1/373664671/GV/CA/JN/27272597/product-jpeg-250x250.jpg
