name,product_url,price,supplier,supplier_url,location,rating,min_order,product_id,image_url
Spicy Kair Pickle 500gm,https://www.indiamart.com/proddetail/kair-pickle-500gm-2853519411948.html?pos=1&kwd=pickle&tags=A||||8378.498||product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4|r=4,,Oswal Grah Udhyog,https://www.indiamart.com/oswal-grahudhyog-rajasthan/?pos=1&kwd=pickle&tags=A||||8378.498||product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,Sojat,4.4,,2853519411948,https://5.imimg.com/data5/ANDROID/Default/2024/2/394400944/UU/NF/RK/112502417/product-jpeg-250x250.jpg
"SAR Gunda Pickles, Packaging Type: Box",https://www.indiamart.com/proddetail/gunda-pickles-2853528966255.html?pos=2&kwd=pickle&tags=A||||8841.674|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4|r=4,"1,200/Kg",Technomec Roorkee India Private Limited,https://www.indiamart.com/technomecroorkeeindia/?pos=2&kwd=pickle&tags=A||||8841.674|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,Roorkee,4,,2853528966255,https://5.imimg.com/data5/SELLER/Default/2023/12/366109924/XO/QB/CC/194821487/12-01-250x250.jpg
"Deepanjali Fresh Green Mango Pickle, 1 kg",https://www.indiamart.com/proddetail/fresh-green-mango-pickle-2853305111997.html?pos=3&kwd=pickle&tags=A||||9202.365|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4|r=4,200/Kg,Deepanjali Gramodyog,https://www.deepanjaliamla.com/?pos=3&kwd=pickle&tags=A||||9202.365|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,Pratapgarh,4.5,,2853305111997,https://5.imimg.com/data5/SELLER/Default/2024/2/382562196/CK/UZ/ED/122523075/mango-pickle-250x250.jpg
"Spicy Mixed Vegetable Pickle, Packaging Type: Jar, 900gm",https://www.indiamart.com/proddetail/mixed-vegetable-pickle-2855937803062.html?pos=4&kwd=pickle&tags=A||||8741.987|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,320/Kg,Harika Natural Health Care Products,https://www.indiamart.com/harikanaturalhealthcareproducts/?pos=4&kwd=pickle&tags=A||||8741.987|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,Ambala,,,2855937803062,https://5.imimg.com/data5/SELLER/Default/2025/3/495782488/JR/PF/RS/239943321/mixed-achar-250x250.jpg
"Chintachiguru pickle, Packaging Size: 250 g",https://www.indiamart.com/proddetail/chintachiguru-pickle-2856122025448.html?pos=5&kwd=pickle&tags=A||||8962.146|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4|r=4,600/Kg,SRM Security Services,https://www.indiamart.com/srm-security-services/?pos=5&kwd=pickle&tags=A||||8962.146|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,Khammam,4.5,,2856122025448,https://5.imimg.com/data5/SELLER/Default/2025/3/496002300/AI/WZ/FK/110624907/whatsapp-image-2025-03-12-at-11-41-01-am-250x250.jpeg
Organic Amla Pickle,https://www.indiamart.com/proddetail/organic-amla-pickle-14531417530.html?pos=6&kwd=pickle&tags=A||||8584.299|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4|r=3,40/Gram,Suriya Food Products,https://www.indiamart.com/suriya-food-products/?pos=6&kwd=pickle&tags=A||||8584.299|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,Coimbatore,3.6,,14531417530,https://5.imimg.com/data5/BG/TK/MY-2/amla-pickle-250x250.jpg
"Spicy Mix Pickle, Packaging Type: Jar",https://www.indiamart.com/proddetail/mix-pickle-13234132033.html?pos=7&kwd=pickle&tags=A||||8752.144||product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4|r=3,,Holyland Marketing Private Limited,https://www.goldencrown.in/?pos=7&kwd=pickle&tags=A||||8752.144||product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,New Delhi,3.8,,13234132033,https://5.imimg.com/data5/WM/QG/GR/SELLER-449985/5-kg-mix-pickle-250x250.jpg
"Mix Veg Mixed Vegetable Pickle, Packaging Type: Plastic Jar, 1 Kg",https://www.indiamart.com/proddetail/mixed-vegetable-pickle-2855080072191.html?pos=8&kwd=pickle&tags=A||||8482.091|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,90/Kg,R K Spices,https://www.indiamart.com/rkspices/?pos=8&kwd=pickle&tags=A||||8482.091|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,Ajmer,,,2855080072191,https://5.imimg.com/data5/SELLER/Default/2025/1/484997391/CP/FI/EQ/233602637/mixed-vegetable-pickle-250x250.jpg
"Indu's Cauliflower Pickle, Packaging Type: Loose",https://www.indiamart.com/proddetail/indu-s-cauliflower-pickle-2855853391633.html?pos=9&kwd=pickle&tags=A||||9289.285|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,500/Kg,Indu's Pickles,https://www.indiamart.com/induspickles/?pos=9&kwd=pickle&tags=A||||9289.285|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,Visakhapatnam,,,2855853391633,https://5.imimg.com/data5/SELLER/Default/2025/2/492166341/XY/XU/GX/241606762/cauliflower-pickle-250x250.jpeg
Lime Chilli Pickle,https://www.indiamart.com/proddetail/lime-chilli-pickle-7314183948.html?pos=10&kwd=pickle&tags=A||||8254.437|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4|r=4,120/PIECE,Patidar Agro & Food Products,https://www.patidaragro.co.in/?pos=10&kwd=pickle&tags=A||||8254.437|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:G|grpfl:74|wc:1|qr_nm:gd|cs:12680|com-cf:nl|ptrs:na|mc:20899|cat:12|qry_typ:P|lang:en|flavl:0-10|rtn:3-0-0-0-2-5-0|qrd:250414|mrd:250402|prdt:250414|v=4,Dehgam,4.4,,7314183948,https://5.imimg.com/data5/SA/XO/NA/SELLER-2055336/lime-chilli-pickle-250x250.jpg
Gunda Pickles lesuwa pickle,https://www.indiamart.com/proddetail/gunda-pickles-lesuwa-pickle-2855102984433.html?pos=11&kwd=pickle&tags=A||||8404.165|Price|product|||TS|rsf:gd-|-qr_nm:gd|cs:11195|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:20899|cat:12|mtp:G|qry_typ:P|lang:en|wc:1|rtn:2-0-0-0-2-4-2|qrd:250414|mrd:250402|prdt:250414|v=4|r=4,95/Bottle,M/S Agarwal Foods,https://www.agarwalfoods.net/?pos=11&kwd=pickle&tags=A||||8404.165|Price|product|||TS|rsf:gd-|-qr_nm:gd|cs:11195|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:20899|cat:12|mtp:G|qry_typ:P|lang:en|wc:1|rtn:2-0-0-0-2-4-2|qrd:250414|mrd:250402|prdt:250414|v=4,Nagaur,4.5,,2855102984433,https://5.imimg.com/data5/SELLER/Default/2024/10/460205183/KK/HD/PH/44307765/gunda-pickles-lesuwa-pickle-250x250.jpeg
"Spicy Nagaurwala Gunda Pickles, Packaging Type: Jar, 200g",https://www.indiamart.com/proddetail/nagaurwala-gunda-pickles-2852516237397.html?pos=12&kwd=pickle&tags=A||||8404.165|Price|product|||MDC|rsf:gd-|-qr_nm:gd|cs:11195|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:20899|cat:12|mtp:G|qry_typ:P|lang:en|wc:1|rtn:2-0-0-0-2-4-2|qrd:250414|mrd:250402|prdt:250414|v=4|r=3,120/Pack,Shree Nakoda Agency,https://www.indiamart.com/shree-nakoda-agency-nagaur/?pos=12&kwd=pickle&tags=A||||8404.165|Price|product|||MDC|rsf:gd-|-qr_nm:gd|cs:11195|res:RC4|com-cf:nl|ptrs:na|ktp:N0|mc:20899|cat:12|mtp:G|qry_typ:P|lang:en|wc:1|rtn:2-0-0-0-2-4-2|qrd:250414|mrd:250402|prdt:250414|v=4,Nagaur,3.6,,2852516237397,https://5.imimg.com/data5/SELLER/Default/2023/9/347345614/HF/JK/TU/61589306/new-product-250x250.jpeg
