name,product_url,price,supplier,supplier_url,location,rating,min_order,product_id,image_url
"Hand Handled PU Leather Ladies Orange Shoulder Bag, 300gm, Size: 30x40 cm (lxw)",https://www.indiamart.com/proddetail/ladies-orange-shoulder-bag-2849762789230.html?pos=1&kwd=prada%20shoulder%20bag&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,150,Unick Enterprises,https://www.indiamart.com/unickenterises/?pos=1&kwd=prada%20shoulder%20bag&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,New Delhi,4.7,,2849762789230,https://5.imimg.com/data5/SELLER/Default/2023/1/LE/TO/IA/182855250/ladies-leather-handpurse-250x250.jpg
Prada_Flap_Shoulder_Bag_(brown),https://www.indiamart.com/proddetail/prada-flap-shoulder-bag-brown-2856354082791.html?pos=2&kwd=prada%20shoulder%20bag&tags=A||||8230.883|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,"2,899",MT Accessories,https://www.indiamart.com/mtaccessories/?pos=2&kwd=prada%20shoulder%20bag&tags=A||||8230.883|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,Surat,,,2856354082791,https://5.imimg.com/data5/ANDROID/Default/2025/4/502352719/XR/BM/IB/241140274/product-jpeg-250x250.jpg
Ladies Shoulder Bags,https://www.indiamart.com/proddetail/ladies-shoulder-bags-2854584315173.html?pos=3&kwd=prada%20shoulder%20bag&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,460,Divine Nx,https://www.divinenx.com/?pos=3&kwd=prada%20shoulder%20bag&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,Mumbai,4.1,,2854584315173,https://5.imimg.com/data5/ANDROID/Default/2024/8/440066027/NA/BW/DG/55620190/product-jpeg-250x250.jpg
Mehandi Cotton Cosmus Arena Trendy Stylish Canvas Shoulder Sling Bag,https://www.indiamart.com/proddetail/cosmus-arena-trendy-stylish-canvas-shoulder-sling-bag-17956380662.html?pos=4&kwd=prada%20shoulder%20bag&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,579,Cosmus Lifestyle Private Limited,https://www.cosmusbags.in/?pos=4&kwd=prada%20shoulder%20bag&tags=A||||8211.142|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,Mumbai,4,,17956380662,https://5.imimg.com/data5/ND/PC/MY-2918391/cosmus-arena-trendy-stylish-canvas-shoulder-sling-bag-250x250.jpg
Ladies Printed Leather Shoulder Bag,https://www.indiamart.com/proddetail/ladies-printed-leather-shoulder-bag-26749175688.html?pos=5&kwd=prada%20shoulder%20bag&tags=A||||9839.57|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,599,R & N Crafts,https://www.indiamart.com/r-n-crafts/?pos=5&kwd=prada%20shoulder%20bag&tags=A||||9839.57|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,Kolkata,4,,26749175688,https://5.imimg.com/data5/SELLER/Default/2023/9/341100626/SY/XG/AT/115096845/designer-wallet-250x250.jpg
Dark Brown Women Leather Shoulder Bag,https://www.indiamart.com/proddetail/women-leather-shoulder-bag-27132380388.html?pos=6&kwd=prada%20shoulder%20bag&tags=A||||9843.627|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,"1,450",Asgari Enterprise,https://www.indiamart.com/asgarienterprise/?pos=6&kwd=prada%20shoulder%20bag&tags=A||||9843.627|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,North 24 Parganas,4.8,,27132380388,https://5.imimg.com/data5/SELLER/Default/2022/10/DM/BZ/RY/82464038/er62-brown-cross-250x250.jpg
White And Purple Genuine Leather Ladies Printed Shoulder Bag,https://www.indiamart.com/proddetail/ladies-printed-shoulder-bag-15167347491.html?pos=7&kwd=prada%20shoulder%20bag&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4|r=3,160,M S Leather,https://www.indiamart.com/ms-leather-delhi/?pos=7&kwd=prada%20shoulder%20bag&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,New Delhi,3.9,,15167347491,https://5.imimg.com/data5/SELLER/Default/2024/2/388974866/XL/DN/TA/21121667/ladies-printed-shoulder-bag-250x250.jpg
"Red Hand Painted Dari Fabric Stripe Design Shoulder Bag 175, Size: 12""x14""x3""",https://www.indiamart.com/proddetail/dari-fabric-stripe-design-shoulder-bag-175-3768947362.html?pos=8&kwd=prada%20shoulder%20bag&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4|r=4,285,Little India,https://www.littleindiajaipur.com/?pos=8&kwd=prada%20shoulder%20bag&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,Jaipur,4.2,,3768947362,https://5.imimg.com/data5/GM/CO/ZA/SELLER-1819434/double-black-kashmiri-shawl-169-250x250.jpeg
Ladies Black Buffalo Leather Corporate Shoulder Bag,https://www.indiamart.com/proddetail/ladies-black-buffalo-leather-corporate-shoulder-bag-2855668441173.html?pos=9&kwd=prada%20shoulder%20bag&tags=A||||9839.57|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,850,Nadim Leather,https://www.indiamart.com/nadim-leather/?pos=9&kwd=prada%20shoulder%20bag&tags=A||||9839.57|Price|product|||MDC|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,Kolkata,,,2855668441173,https://5.imimg.com/data5/SELLER/Default/2025/1/484575845/XC/RT/JI/69728875/ladies-corporate-bags-250x250.jpg
Leather Baizag Senorita Shoulder Black Bag,https://www.indiamart.com/proddetail/baizag-senorita-shoulder-black-bag-2854852937773.html?pos=10&kwd=prada%20shoulder%20bag&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4|r=5,"1,700",Baizag Lifestyle Private Limited,https://www.indiamart.com/baizaglifestyle/?pos=10&kwd=prada%20shoulder%20bag&tags=A||||8228.275|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|mtp:S|wc:1|qr_nm:gd|cs:13124|com-cf:nl|ptrs:na|mc:11292|cat:362|qry_typ:P|lang:en|flavl:0-1|rtn:2-0-0-0-1-6-1|qrd:250414|mrd:250414|prdt:250414|v=4,Ahmedabad,5,,2854852937773,https://5.imimg.com/data5/SELLER/Default/2024/9/450606831/AS/CB/BY/229410901/baizag-senorita-shoulder-black-bag-250x250.jpg
