name,product_url,price,supplier,supplier_url,location,rating,min_order,product_id,image_url
"Samsung Led Tv, 55 inches",https://www.indiamart.com/proddetail/samsung-led-tv-24186552548.html?pos=1&kwd=samsung%20tv&tags=A||||8752.144|Price|product|||LSnp|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=3,"35,840",A.S.Enterprises,https://www.indiamart.com/as-enterprise-newdelhi/?pos=1&kwd=samsung%20tv&tags=A||||8752.144|Price|product|||LSnp|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,New Delhi,3.8,,24186552548,https://5.imimg.com/data5/SELLER/Default/2021/11/MA/EI/HU/69654469/hg50at690-250x250.jpg
Samsung BE43D-H Business TV,https://www.indiamart.com/proddetail/samsung-be43d-h-business-tv-2855130894930.html?pos=2&kwd=samsung%20tv&tags=A||||8741.812||product|||LSnp|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=3,,Samsung India Electronics Private Limited,https://www.indiamart.com/samsungelectronics-india/?pos=2&kwd=samsung%20tv&tags=A||||8741.812||product|||LSnp|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,Gurugram,3.9,,2855130894930,https://5.imimg.com/data5/SELLER/Default/2024/10/458629210/MP/LC/SG/11938410/1721049384-img-2287579-250x250.jpg
Black IPS Samsung Led Smart Tv,https://www.indiamart.com/proddetail/samsung-led-smart-tv-23459361162.html?pos=3&kwd=samsung%20tv&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=4,"27,000",Jain Radio,https://www.jainradios.co.in/?pos=3&kwd=samsung%20tv&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,New Delhi,4.2,,23459361162,https://5.imimg.com/data5/SELLER/PDFImage/2024/10/461049811/WJ/ND/YM/22641583/samsung-led-smart-tv-250x250.png
"UA32T4380AKXXL Samsung LED TV, 32 inch",https://www.indiamart.com/proddetail/ua32t4380akxxl-samsung-led-tv-2853587212212.html?pos=4&kwd=samsung%20tv&tags=A||||8236.946|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=4,"14,200",Sree Sai Electronics,https://www.sreesaielectronics.in.net/?pos=4&kwd=samsung%20tv&tags=A||||8236.946|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,Raigad,4.7,,2853587212212,https://5.imimg.com/data5/SELLER/Default/2024/3/396399497/OM/SU/JP/128626592/samsung-ua32t4380akxxl-led-tv-250x250.jpg
"Samsung Led Tv 4360akxxl 15500, 32 inch",https://www.indiamart.com/proddetail/samsung-led-tv-4360akxxl-15500-23057361297.html?pos=5&kwd=samsung%20tv&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=3,"15,500",Sethi Pavilion,https://www.indiamart.com/sethi-pavilion/?pos=5&kwd=samsung%20tv&tags=A||||8752.144|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,New Delhi,3.4,,23057361297,https://5.imimg.com/data5/ANDROID/Default/2024/10/461702283/QK/ZV/QL/65788009/product-jpeg-250x250.jpg
"Samsung Commercial TV DB40E, for Semi-outdoor Type",https://www.indiamart.com/proddetail/samsung-commercial-tv-db40e-19500801997.html?pos=6&kwd=samsung%20tv&tags=A||||8741.812||product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=4,,RAPID INFOTECH,https://www.indiamart.com/rapid-infotech/?pos=6&kwd=samsung%20tv&tags=A||||8741.812||product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,Gurgaon,4.7,,19500801997,https://5.imimg.com/data5/LU/EK/MY-25035125/samsung-lfd-display-db40e-250x250.jpg
Black Samsung LED TV Set,https://www.indiamart.com/proddetail/samsung-led-tv-set-11879781497.html?pos=7&kwd=samsung%20tv&tags=A||||8316.457|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=4,"48,000(s)",Elmech Power Controls,https://www.indiamart.com/elmechpowercontrols/?pos=7&kwd=samsung%20tv&tags=A||||8316.457|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,Nashik,4,,11879781497,https://5.imimg.com/data5/SELLER/Default/2023/7/321683654/EZ/PP/DK/9835370/samsung-led-tv-set-250x250.jpg
Samsung Led Tv 32 Inch,https://www.indiamart.com/proddetail/samsung-led-tv-32-inch-2855362311912.html?pos=8&kwd=samsung%20tv&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=3,"18,000",Ultima Communication,https://www.indiamart.com/ultimacommunication/?pos=8&kwd=samsung%20tv&tags=A||||8601.347|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,Jaipur,3,,2855362311912,https://5.imimg.com/data5/SELLER/Default/2024/11/468895215/MG/OQ/TE/15740765/samsung-led-tv-32-inch-250x250.jpg
"Samsung Commercial TV DB40E, 43 inch",https://www.indiamart.com/proddetail/samsung-commercial-tv-db40e-2854292093591.html?pos=9&kwd=samsung%20tv&tags=A||||8741.812|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=4,"38,000",Seasoned Technologies,https://www.indiamart.com/seasoned-technologies/?pos=9&kwd=samsung%20tv&tags=A||||8741.812|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,Gurugram,4,,2854292093591,https://5.imimg.com/data5/SELLER/Default/2024/6/428149943/MT/PF/BV/137578576/samsung-commercial-tv-db40e-250x250.jpeg
HG49AJ690 Samsung LED TV 49 Inch,https://www.indiamart.com/proddetail/hg49aj690-samsung-led-tv-49-inch-22893826530.html?pos=10&kwd=samsung%20tv&tags=A||||8741.812|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4|r=4,"24,000",Asian Global Solution,https://www.indiamart.com/asianglobalsolutions/?pos=10&kwd=samsung%20tv&tags=A||||8741.812|Price|product|||TS|rsf:gd-|-res:RC4|ktp:N0|stype:attr=1-br|mtp:Brn|wc:1|qr_nm:gd|cs:14135|com-cf:nl|ptrs:na|mc:184300|cat:762|qry_typ:P|lang:en|flavl:0-10|rtn:0-0-0-0-4-6-0|qrd:250416|mrd:250416|prdt:250416|v=4,Gurgaon,4.1,,22893826530,https://5.imimg.com/data5/SELLER/Default/2020/11/IK/NE/GM/15366932/samsung-hospitality-tv-49-hg49aj690-01-700x550-250x250.jpg
